4,Belle Etoile (Tamil Social Hall)
5,Beau Bassin (Vinayak Mandir)
6,"Beau Bassin (Cercle de Beau
Bassin)"
7,Rose Hill (Place Cardinal Margeot)
8,Belle Rose (Pepsi Cola)
9,Quatre Bornes (Cite Saint Jean)
10,La Louise
11,Bassin


Route:,3D
Operator:,NTC
Location 1:,Port Louis
Location 2:,La Marie
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,G.R.N.W.
3,Coromandel (Sunray Hotel)
4,Belle Etoile (Tamil Social Hall)
5,Beau Bassin (Vinayak Mandir)
6,"Beau Bassin (Cercle de Beau
Bassin)"
7,Rose Hill (Place Cardinal Margeot)
8,Belle Rose (Pepsi Cola)
9,Quatre Bornes (Cite Saint Jean)
10,La Louise
11,Candos (Victoria Hospital)
12,La Caverne (Modern Complex)
13,Hollyrood (Optiprix Store)
14,Glen Park (Shivala)
15,La Marie (Entrance)
16,La Marie (Terminus)


Route:,4
Operator:,NTC
Location 1:,Quatre Bornes
Location 2:,Curepipe
0,Quatre Bornes (Traffic Centre)
1,Candos (Victoria Hospital)
2,La Caverne (Modern Complex)
3,Vacoas (S.M.F.)
4,Saint Paul (Magasin Lotus)
5,Castel (Magasin Etoile Brillant)
6,Eau Coulee (Neergheen Bhawan)
7,Curepipe (Jan Palach North)


Route:,4A
Operator:,NTC
Location 1:,Quatre Bornes
Location 2:,Curepipe
0,Quatre Bornes (Traffic Centre)
1,Candos (Victoria Hospital)
2,La Caverne (Modern Complex)
3,Vacoas (S.M.F.)
4,Junction Floreal / Riverwalk Roads
5,Floreal (Knitwear Factory)
6,Curepipe Road (Darne Clinic)
7,Curepipe (Jan Palach North)


Route:,5
Operator:,"Individual
Operator"
Location 1:,Quatre Bornes
Location 2:,Baie du Cap
0,Quatre Bornes (Traffic Centre)
1,La Louise
2,Palma (Government School)
3,Palma (Junction Bassin Estate)
4,Beaux Songes (Reservoir)
5,"Montee Bol (Junction Geoffroy
Road)"
6,Bambous (Mangues Vert Doux)
7,"Bambous (Junction Black River /
Geoffroy Roads)"
8,Bambous (Dragon Store)
9,Junction Flic en Flac
10,Clarence (Beginning of Village)
11,Clarence (End of Village)
12,Riviere du Rempart Bridge
13,Tamarin (Beginning of Village)
14,Tamarin (Salt Pans)
15,La Preneuse
16,Grande Riviere Noire (Salt Pans)
17,"Grande Riviere Noire (Trois Bras
Store)"
18,Montee Bois Puant
19,Petite Riviere Noire (Salt Pans)
20,"Petite Riviere Noire (End of
Village)"
21,Case Noyale
22,La Gaulette
23,Coteau Raffin
24,Le Morne (Hotel Junction)
25A,Le Morne (Le Paradis Hotel)
26A,Le Morne (Le Berjaya Hotel)
25,Le Morne (Football Ground)
26,Le Morne (End of Village)
27,La Prairie (Beach)
28,"La Prairie (Signpost ‘Dangerous
Bath’)"
29,Maconde
30,Baie du Cap


Route:,5A
Operator:,NTC
Remark:,School and peak time service provided
0,Baie du Cap
1,Choisy (Beginning of Village)
2,Choisy (End of Village)
3,Chamarel (Forest)
7,Chamarel (Saint Anne Church)


Route:,6
Operator:,NTC
Location 1:,Curepipe
Location 2:,Rivière des Galets
0,Curepipe (Jan Palach South)
1,Forest Side (Post Office)
2,Forest Side (UBS Depot)
3,"XVIth Mile (Junction Coriolis /
Royal Roads)"
4,Lapeyre Hill
5,"Nouvelle France (Police
Station)"
6,Nouvelle France (Comlone)
7,"Beau Climat (Sugar Estate
Office)"
8,La Flora (Shivala)
10,Junction Riviere du Poste
11,Riviere Dragon
12,Britannia
13,Tyack (Vishnu Mandir)
14,Riviere des Anguilles
15,Union Ducray
16,"Souillac (Bain des Negresses
Bridge)"
17,Souillac (Bus Station)
18,Surinam (Mosque)
19,Surinam (Peerally Store)
20,Contour Leon
21,Belle Vue
22,Chemin Grenier (Taxi Stand)
23,"Chemin Grenier (Tamil
Temple)"
24,"Riviere des Galets (Bus
Station)"


Route:,6A
Operator:,NTC
Location 1:,Curepipe
Location 2:,Chamouny
0,Curepipe (Jan Palach South)
1,Forest Side (Post Office)
2,Forest Side (UBS Depot)
3,"XVIth Mile (Junction Coriolis /
Royal Roads)"
4,Lapeyre Hill
5,"Nouvelle France (Police
Station)"
6,Nouvelle France (Comlone)
7,"Beau Climat (Sugar Estate
Office)"
8,La Flora (Shivala)
10,Junction Riviere du Poste
11,Riviere Dragon
12,Britannia
13,Tyack (Vishnu Mandir)
14,Riviere des Anguilles
15,Union Ducray
16,"Souillac (Bain des Negresses
Bridge)"
17,Souillac (Bus Station)
18,Surinam (Mosque)
19,Surinam (Peerally Store)
20,Contour Leon
21,Belle Vue
22,Chemin Grenier (Taxi Stand)
23,Chamouny


Route:,6B
Operator:,NTC
Location 1:,Curepipe
Location 2:,Martiniere
0,Curepipe (Jan Palach South)
1,Forest Side (Post Office)
2,Forest Side (UBS Depot)
3,"XVIth Mile (Junction Coriolis /
Royal Roads)"
4,Lapeyre Hill
5,"Nouvelle France (Police
Station)"
6,Nouvelle France (Comlone)
7,"Beau Climat (Sugar Estate
Office)"
8,La Flora (Shivala)
10,Junction Riviere du Poste
11,Riviere Dragon
12,Britannia
13,Tyack (Vishnu Mandir)
14,Riviere des Anguilles
15,Union Ducray
16,"Souillac (Bain des Negresses
Bridge)"
17,Souillac (Bus Station)
18,Surinam (Mosque)
19,Martiniere


Route:,7
Operator:,NTC
Location 1:,Rivière des Galets
Location 2:,J. Nehru Hospital
0,"Rose Belle (Jawaharlall Nehru
Hospital)"
1,Rose Belle (Gebert)
2,"New Grove Branch Road
(Community Health Centre)"
3,Gros Billot (Samputh’s House)
4,Mare Tabac (Bridge)
5,Joli Bois (Sugar Estate Office)
6,Riviere du Poste (Kalimaye)
7,Junction Riviere du Poste
8,Riviere Dragon
9,Riche Bois
10,Camp Diable
11,Saint Amand Bridge
12,Chateau Benares
13A,Benares Village
13,Batimarais
14,Riviere des Anguilles
15,Union Ducray
16,"Souillac (Bain des Negresses
Bridge)"
17,Souillac (Bus Station)
18,Surinam (Mosque)
19,Surinam (Peerally Store)
20,Contour Leon
21,Belle Vue
22,Chemin Grenier (Taxi Stand)
23,"Chemin Grenier (Tamil
Temple)"
24,"Riviere des Galets (Bus
Station)"


Route:,8
Operator:,NTC
Location 1:,Souillac
Location 2:,Baie du Cap
0,Souillac (Bus Station)
1,Surinam (Mosque)
2,Surinam (Peerally Store)
3,Contour Leon
4,Belle Vue
5,Chemin Grenier (Taxi Stand)
6,Chemin Grenier (Tamil Temple)
7,Riviere des Galets (Bus Station)
8,Beau Champ (Bridge)
9,Beau Champ (End of Village)
10,"Bel Ombre (Beginning of
Village)"
11,"Bel Ombre (Government
School)"
12,"Saint Martin (Michael Leal
Road)"
13,Baie du Cap


Route:,8B
Operator:,NTC
Remark:,School and peak time service provided
0,Souillac (Bus Station)
1,Surinam (Mosque)
2,Surinam (Peerally Store)
3,Contour Leon
4,Belle Vue
5,Chemin Grenier (Taxi Stand)
6,Chemin Grenier (Tamil Temple)
7,Riviere des Galets (Bus Station)
8,Beau Champ (Bridge)
9,Beau Champ (End of Village)
10,Bel Ombre (Beginning of Village)
11,Bel Ombre (Government School)
12,Saint Martin (Michael Leal Road)
13,Baie du Cap
14,Choisy (Beginning of Village)
15,Choisy (End of Village)


Route:,9
Operator:,"Individual
Operator"
Location 1:,Curepipe
Location 2:,Mahebourg
0,Curepipe (Jan Palach South)
1,Forest Side (Post Office)
2,Forest Side (UBS Depot)
3,"XVIth Mile (Junction Coriolis /
Royal Roads)"
4,Lapeyre Hill
5,Nouvelle France (Police Station)
6,Union Park (Cluny Junction)
7,Union Park (Village Hall)
8A,Jawaharlall Nehru Hospital
8,"Rose Belle (Junction Jawaharlall
Nehru Hospital / Royal Roads)"
9,Rose Belle (Gebert)
10,La Rosa
11,"Mare d’Albert (Government
School)"
12,Mare d’Albert (United Basalt)
13,Plaine Magnien (Police Station)
14,Plaisance (Grotto)
15A,S.S.R. International Airport
15,Madame Dayla
16,Beau Vallon
17,Mahebourg (Bus Station)


Route:,10
Operator:,"Individual
Operator"
Location 1:,Mahebourg
Location 2:,Rivière des Galets
0,Mahebourg (Bus Station)
1,Beau Vallon
2,Madame Dayla
3,Plaisance (Grotto)
4A,S.S.R. International Airport
4,Plaine Magnien
5,Union Vale
6,Trois Boutiques
7,Plein Bois
8,L’Escalier (Police Station)
9,La Sourdine
10,"Savannah (Sugar Estate
Entrance)"
11,Saint Amand Bridge
12A,Camp Diable
13A,Riche Bois (Tookay Temple)
12,Chateau Benares
13,Batimarais
14,Riviere des Anguilles
15,Union Ducray
16,"Souillac (Bain des Negresses
Bridge)"
17,Souillac (Bus Station)
18,Surinam (Mosque)
19,Surinam (Peerally Store)
20,Contour Leon
21,Belle Vue
22,Chemin Grenier (Taxi Stand)
23,Chemin Grenier (Tamil Temple)
24,Riviere des Galets (Bus Station)


Route:,10A
Operator:,"Individual
Operator"
Location 1:,Curepipe
Location 2:,La Sourdine
0,Curepipe (Jan Palach South)
1,Forest Side (Post Office)
2,Forest Side (UBS Depot)
3,"XVIth Mile (Junction Coriolis /
Royal Roads)"
4,Lapeyre Hill
5,Nouvelle France (Police Station)
6,Union Park (Cluny Junction)
7,Union Park (Village Hall)
8A,Jawaharlall Nehru Hospital
8,"Rose Belle (Junction Jawaharlall
Nehru Hospital / Royal Roads)"
9,Rose Belle (Gebert)
10,La Rosa
11,"Mare d’Albert (Government
School)"
12,Mare d’Albert (United Basalt)
13,Plaine Magnien (Police Station)
14,Union Vale
15,Trois Boutiques
16,Plein Bois
17,L’Escalier (Police Station)
18,La Sourdine


Route:,11
Operator:,"Individual
Operator"
Location 1:,Mahebourg
Location 2:,Le Val
0,Mahebourg (Bus Station)
1,Ville Noire
2,"Grand Bel Air (Wan Sek Lau’s
Shop)"
3,"Bel Air Road (Grand Port
Junction)"
4,Riche en Eau (Sugar Factory)
5,"Saint Hilaire (Chateau
Rochecouste – Grand Cour)"
6,Saint Hubert (Ex-Samputh Shop)
7,Saint Hubert (Terminus)
8,Le Val


Route:,12
Operator:,"Individual
Operator"
Location 1:,Pellegrin
Location 2:,Port Louis
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,Camp Chapelon
3,Pailles (Grewals)
4,Soreze
5,Mount Ory (Sungkur Shop)
6,"Moka (Junction Leclezio Avenue /
Bois Cheri Road)"
7A,Moka (Hospital)
7,Moka (Government School)
8,Riviere Baptiste (Junction)
9,Saint Pierre (Traffic Centre)
10,Verdun (Beginning of Village)
11,Verdun (Bar Le Duc Bridge)
12,Alma (Beginning of Village)
13,Alma (Cemetery)
14,Quartier Militaire (Ex-Railway Station)
15,Providence (Beginning of Village)
16,Providence (End of Village)
17,Melrose (Beginning of Village)
18,Melrose (End of Village)
19,"Montagne Blanche (Beginning of
Village)"
20,Montagne Blanche (End of Village)
21,Lesur
22,Sebastopol
23,Pellegrin (Nehru’s House)
24,Pellegrin (Riviere Profonde)


Route:,Route not found
Operator:,"Individual
Operator"
Remark:,Service provided by buses of Route 12
0,Port Louis (Victoria Square)
1,Brabant (SPAR)
2,Camp Chapelon
3,Pailles (Grewals)
4,Soreze
5,Mount Ory (Sungkur Shop)
6,"Moka (Junction Leclezio Avenue /
Bois Cheri Road)"
7A,Moka (Hospital)
7,Moka (Government School)
8,Riviere Baptiste (Junction)
9,Saint Pierre (Traffic Centre)
10,Verdun (Beginning of Village)
11,Verdun (Bar Le Duc Bridge)
12,Alma (Beginning of Village)
13,Alma (Cemetery)
14,"Quartier Militaire (Ex-Railway
Station)"
15,Providence (Beginning of Village)
16,Providence (End of Village)
17,Melrose (Beginning of Village)
18,Melrose (End of Village)
19,"Montagne Blanche (Beginning of
Village)"
20,Petit Paquet
21,Pellegrin (Riviere Profonde)


Route:,13
Operator:,"Individual
Operator"
Remark:,Service provided by buses of Route 15
0,"Rose Hill (Place Cardinal
Margeot)"
1,Ebene (I.V.T.B.)
2,"Reduit (University of
Mauritius)"
3,"Moka (Mahatma Gandhi
Institute)"
4,"Moka (Junction Leclezio
Avenue / Bois Cheri Road)"
5A,Mount Ory (Sungkur Shop)
5,Moka (Government School)
6,Riviere Baptiste (Junction)
7,Saint Pierre (Traffic Centre)


Route:,13A
Operator:,"Individual
Operator"
Location 1:,Eau Bouillie
Location 2:,Rose Hill
0,"Rose Hill (Place Cardinal
Margeot)"
1,Ebene (I.V.T.B.)
2,"Reduit (University of
Mauritius)"
3,"Moka (Mahatma Gandhi
Institute)"
4A,Moka (Hospital)
4,Gentilly
5,Saint Pierre (Traffic Centre)
6,L’Avenir
7,"Junction La Laura /
Nouvelle Decouverte Roads"
8,Beau Bois
9,Ripailles
10,"Nouvelle Decouverte
(Government School)"
11,"Junction La Nicoliere Road /
Eau Bouillie"


Route:,13D
Operator:,"Individual
Operator"
Remark:,Service provided by buses of Route 15
0,"Rose Hill (Place Cardinal
Margeot)"
1,Ebene (I.V.T.B.)
2,"Reduit (University of
Mauritius)"
3,"Moka (Mahatma Gandhi
Institute)"
4A,Moka (Hospital)
4,Gentilly
5,Saint Pierre (Traffic Centre)
6,L’Avenir
7,"Junction La Laura /
Nouvelle Decouverte Roads"
8A,Malinga
8,La Laura


Route:,14
Operator:,NTC
Location 1:,Curepipe
Location 2:,Rose Belle
0,Curepipe (Jan Palach South)
1,Forest Side (Post Office)
2,Forest Side (UBS Depot)
3,Midlands (Coriolis Road)
4,Midlands (Tombstone)
5,Midlands (Government School)
6,Bananes (Water Pump)
7,Bananes (Beeharry Shop)
8,Eau Bleue (Reservoir)
9,Junction Cluny / Mare Chicose
10,Cluny (Mandir)
11,Cluny (Cite Beemanique)
12,Union Park (Cluny Junction)
13,Union Park (Village Hall)
14A,Jawaharlall Nehru Hospital
14,Rose Belle (Terminus)


Route:,14A
Operator:,NTC
Remark:,Service provided by buses of Route 14
0,Curepipe (Jan Palach South)
1,Forest Side (Post Office)
2,Forest Side (UBS Depot)
3,Midlands (Coriolis Road)
4,Midlands (Tombstone)
5,Midlands (Government School)
6,Junction Midlands / Chartreuse
7,Chartreuse (Ex-Tea Factory)
8,Junction Chartreuse / Dubreuil
9,Raffray No. 1
10,Midlands Dam (Entrance)
11,Junction La Pipe / Pave Citron
12,Camp du The (Tea Shelter)
13,Riviere du Bois (Shelter No. 1)
14,Riviere du Bois (Office No. 2)
15,Pave Citron


Route:,14B
Operator:,NTC
Remark:,Service provided by buses of Route 14
0,Curepipe (Jan Palach South)
1,"Forest Side (La Vigie
Roundabout)"
3,Midlands (Tombstone)
4,Midlands (Government School)


Route:,15
Operator:,"Individual
Operator"
Location 1:,Rose Hill
Location 2:,Belle Mare
0,Rose Hill (Place Cardinal Margeot)
1,Ebene (I.V.T.B.)
2,Reduit (University of Mauritius)
3,Moka (Mahatma Gandhi Institute)
4,Gentilly
5,Saint Pierre (Traffic Centre)
6,Verdun (Beginning of Village)
7,Verdun (Bar le Duc Bridge)
8,Alma (Beginning of Village)
9,Alma (Cemetery)
10,"Quartier Militaire (Ex-Railway
Station)"
11,Providence (Beginning of Village)
12,Providence (End of Village)
13,Mont Ida (Government School)
14,Medine
15,Bel Etang
16,Camp de Masque (Village Hall)
17,F.U.E.L.
18,Bonne Mere (Reservoir)
19,Bonne Mere (Maness)
20,Central Flacq (Bus Station)
21,Argy
22,Junction Belle Mare / Isidore Rose
23,Mare La Chaux
24,Belle Mare


Route:,15A
Operator:,"Individual
Operator"
Remark:,Service provided by buses of Route 15
0,"Rose Hill (Place Cardinal
Margeot)"
1,Ebene (I.V.T.B.)
2,Reduit (University of Mauritius)
3,"Moka (Mahatma Gandhi
Institute)"
4,Gentilly
5,Saint Pierre (Traffic Centre)
6,Verdun (Beginning of Village)
7,Verdun (Bar le Duc Bridge)
8,Alma (Beginning of Village)
9,Alma (Cemetery)
10,"Quartier Militaire (Ex-Railway
Station)"
11,Providence (Branch Road)
12,"Saint Julien d’Hotman
(Overseas Glove Factory)"
13,"Saint Julien d’Hotman (Reetoo’s
House)"
14,"Camp Thorel (Heeraman’s
House)"
15,Camp Thorel


Route:,15C
Operator:,"Individual
Operator"
Remark:,Service provided by buses of Route 15
0,"Rose Hill (Place Cardinal
Margeot)"
1,Ebene (I.V.T.B.)
2,Reduit (University of Mauritius)
3,"Moka (Mahatma Gandhi
Institute)"
4,Gentilly
5,Saint Pierre (Traffic Centre)
6,Verdun (Beginning of Village)
7,Verdun (Bar le Duc Bridge)
8,Alma (Beginning of Village)
9,Alma (Cemetery)
10,"Quartier Militaire (Ex-Railway
Station)"
11,"Providence (Beginning of
Village)"
12,Providence (End of Village)
13,Mont Ida (Government School)
14,Medine
15,Bel Etang
16,Camp de Masque (Village Hall)
17,Balance John
18,"Camp de Masque Pave
(Government School)"
19,Petite Cabane


Route:,15D
Operator:,"Individual
Operator"
Location 1:,Rose Hill
Location 2:,L’Esperance
0,"Rose Hill (Place Cardinal
Margeot)"
1,Ebene (I.V.T.B.)
2,Reduit (University of Mauritius)
3,"Moka (Mahatma Gandhi
Institute)"
4A,Moka (Hospital)
4,Gentilly
5,Saint Pierre (Traffic Centre)
6,Verdun (Beginning of Village)
7A,Cite Alma
7,Verdun (Bar le Duc Bridge)
8,Alma (Beginning of Village)
9,Alma (Cemetery)
10,"Quartier Militaire (Ex-Railway
Station)"
11,Bonne Veine
